[2024-08-13 10:41:14] TX		 Security ID: ff ff Address: ff Seq: 0 Command: 11 Parameter: c0
[2024-08-13 10:54:49] TX		 Security ID: ff ff Address: ff Seq: 0 Command: 1f Parameter: c8
[2024-08-13 10:57:34] TX		 Security ID: ff ff Address: ff Seq: 0 Command: 1f Parameter: c8
[2024-08-13 10:59:21] TX		 Security ID: ff ff Address: ff Seq: 0 Command: 1f Parameter: c8
[2024-08-13 10:59:52] TX		 Security ID: ff ff Address: ff Seq: 1 Command: 20 Parameter: c8
[2024-08-13 11:00:22] TX		 Security ID: ff ff Address: ff Seq: 2 Command: 33 Parameter: 00
[2024-08-13 11:00:41] TX		 Security ID: ff ff Address: ff Seq: 3 Command: 33 Parameter: 00
[2024-08-13 11:00:55] TX		 Security ID: ff ff Address: ff Seq: 4 Command: 20 Parameter: 00
[2024-08-13 11:01:01] TX		 Security ID: ff ff Address: ff Seq: 5 Command: 33 Parameter: 00
[2024-08-13 11:04:47] TX		 Security ID: ff ff Address: ff Seq: 0 Command: 00 Parameter: 00
[2024-08-13 11:05:05] TX		 Security ID: ff ff Address: ff Seq: 1 Command: 03 Parameter: 00
[2024-08-13 11:05:22] TX		 Security ID: ff ff Address: ff Seq: 2 Command: 3f Parameter: 00
[2024-08-13 11:08:53] TX		 Security ID: ff ff Address: ff Seq: 3 Command: 3f Parameter: 00
[2024-08-13 11:09:12] TX		 Security ID: ff ff Address: ff Seq: 4 Command: 20 Parameter: 00
[2024-08-13 11:09:26] TX		 Security ID: ff ff Address: ff Seq: 5 Command: 20 Parameter: 00
[2024-08-13 11:09:47] TX		 Security ID: ff ff Address: ff Seq: 6 Command: 3f Parameter: 0a
[2024-08-13 11:11:36] TX		 Security ID: ff ff Address: ff Seq: 7 Command: 3f Parameter: 0a
[2024-08-13 11:19:18] TX		 Security ID: ff ff Address: ff Seq: 8 Command: 3f Parameter: 0a
[2024-08-13 11:21:14] TX		 Security ID: ff ff Address: ff Seq: 9 Command: 3f Parameter: 0a
[2024-08-13 11:23:09] TX		 Security ID: ff ff Address: ff Seq: 10 Command: 3f Parameter: 0a
[2024-08-13 11:23:20] TX		 Security ID: ff ff Address: ff Seq: 11 Command: 20 Parameter: 0a
[2024-08-13 11:24:25] TX		 Security ID: ff ff Address: ff Seq: 12 Command: 1f Parameter: c0
[2024-08-13 11:25:06] TX		 Security ID: ff ff Address: ff Seq: 13 Command: 36 Parameter: 14
[2024-08-13 11:25:23] TX		 Security ID: ff ff Address: ff Seq: 14 Command: 38 Parameter: 14
[2024-08-13 11:26:13] TX		 Security ID: ff ff Address: ff Seq: 15 Command: 38 Parameter: 14
[2024-08-13 11:26:25] TX		 Security ID: ff ff Address: ff Seq: 16 Command: 36 Parameter: 14
[2024-08-13 11:26:41] TX		 Security ID: ff ff Address: ff Seq: 17 Command: 1f Parameter: c3
[2024-08-13 11:26:58] TX		 Security ID: ff ff Address: ff Seq: 18 Command: 1f Parameter: c0
[2024-08-13 11:27:16] TX		 Security ID: ff ff Address: ff Seq: 19 Command: 31 Parameter: 00
[2024-08-13 12:59:08] TX		 Security ID: ff ff Address: ff Seq: 0 Command: 3f Parameter: 0a
[2024-08-13 12:59:33] TX		 Security ID: ff ff Address: ff Seq: 1 Command: 3f Parameter: 0a
[2024-08-13 13:01:43] TX		 Security ID: ff ff Address: ff Seq: 2 Command: 31 Parameter: 05
[2024-08-13 13:05:33] TX		 Security ID: ff ff Address: 1f Seq: 3 Command: ff Parameter: 05
[2024-08-13 13:05:39] No Ack	 Address 1f device is inactive
[2024-08-13 13:06:19] TX		 Security ID: ff ff Address: 25 Seq: 4 Command: 1f Parameter: 06
[2024-08-13 13:06:19] RX		 Security ID: ff ff Address: 7f Seq: 4 Command: 60 Parameter: 06
[2024-08-13 13:06:46] TX		 Security ID: ff ff Address: 25 Seq: 5 Command: 1f Parameter: 15
[2024-08-13 13:06:46] RX		 Security ID: ff ff Address: 7f Seq: 5 Command: 60 Parameter: 15
[2024-08-13 13:07:06] TX		 Security ID: ff ff Address: 25 Seq: 6 Command: 1f Parameter: d5
[2024-08-13 13:07:06] RX		 Security ID: ff ff Address: 7f Seq: 6 Command: 60 Parameter: d5
[2024-08-13 13:22:47] TX		 Security ID: ff ff Address: ff Seq: 0 Command: 1f Parameter: 45
[2024-08-13 13:22:58] TX		 Security ID: ff ff Address: ff Seq: 1 Command: 1f Parameter: 8a
[2024-08-13 13:23:23] TX		 Security ID: ff ff Address: ff Seq: 2 Command: 20 Parameter: 8a
[2024-08-13 13:27:46] TX		 Security ID: ff ff Address: ff Seq: 3 Command: 1f Parameter: 45
[2024-08-13 13:40:10] TX		 Security ID: ff ff Address: ff Seq: 4 Command: 1f Parameter: 05
[2024-08-13 14:29:11] TX		 Security ID: ff ff Address: 25 Seq: 5 Command: 00 Parameter: 05
[2024-08-13 14:29:11] RX		 Security ID: ff ff Address: 7f Seq: 5 Command: 60 Parameter: 05
